title,videos,posts,category1
1) Introduction,https://vss4.coursehunter.net/s/8fe40914e016140979430482b28044e4/udemy-ohac/lesson1.mp4,1,1
2) Tools We Use | 00:00:33,https://vss4.coursehunter.net/s/8f14484414790909e016b24380820448/udemy-ohac/lesson2.mp4,1,1
3) Github Repo / Source Code | 00:00:33,https://vss4.coursehunter.net/s/8f09e00980b279824416360443141436/udemy-ohac/lesson3.mp4,,
4) Updating Introduction | 00:00:53,https://vss4.coursehunter.net/s/8f7916809a821443e009b2041444099a/udemy-ohac/lesson4.mp4,,
5) Creating a New Project with Angular CLI | 00:02:10,https://vss4.coursehunter.net/s/8ff00914e016140979430482b28044f0/udemy-ohac/lesson5.mp4,,
6) Updating Versions | 00:03:26,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a7a7/udemy-ohac/lesson6.mp4,,
7) Understanding Our Configuration | 00:04:20,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2adad/udemy-ohac/lesson7.mp4,,
8) Understanding our src setup | 00:04:59,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b609b6/udemy-ohac/lesson8.mp4,,
9) Generating Components with CLI | 00:02:04,https://vss4.coursehunter.net/s/8f164380b2821a44090904e01479141a/udemy-ohac/lesson9.mp4,,
10) Configuring ng generate component to use scss | 00:02:38,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson10.mp4,,
11) Converting Application to SCSS | 00:01:03,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson11.mp4,,
12) How to Succeed with this Course | 00:01:25,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165c5c/udemy-ohac/lesson12.mp4,,
13) 1. Basic Toolbar | 00:10:18,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a2a2/udemy-ohac/lesson13.mp4,,
14) 2. Card | 00:10:22,https://vss4.coursehunter.net/s/8fef0914e016140979430482b28044ef/udemy-ohac/lesson14.mp4,,
15) 3. Accordion | 00:11:41,https://vss4.coursehunter.net/s/8f6444e080b204140979438214160964/udemy-ohac/lesson15.mp4,,
16) 4. Progress Bar | 00:08:27,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147474/udemy-ohac/lesson16.mp4,,
17) 5. Star Ratings | 00:10:04,https://vss4.coursehunter.net/s/8f094443d5b27914091416e0048280d5/udemy-ohac/lesson17.mp4,,
18) 6. Top of Page | 00:09:54,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a1a1/udemy-ohac/lesson18.mp4,,
19) 7A. Basic Routing Setup | 00:06:26,https://vss4.coursehunter.net/s/8f164380b2821d44090904e01479141d/udemy-ohac/lesson19.mp4,,
20) 7B. Basic Routing Setup | 00:04:06,https://vss4.coursehunter.net/s/8fe80914e016140979430482b28044e8/udemy-ohac/lesson20.mp4,,
21) 8. Lazy Loading Routes | 00:06:50,https://vss4.coursehunter.net/s/8f14424414790909e016b24380820442/udemy-ohac/lesson21.mp4,,
22) 9. Truncate Pipe | 00:03:11,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b709b7/udemy-ohac/lesson22.mp4,,
23) 12. Loader Circular Component | 00:08:46,https://vss4.coursehunter.net/s/8f14e00409094414824379b224801624/udemy-ohac/lesson23.mp4,,
24) 10. Credit Card Formater Pipe | 00:09:48,https://vss4.coursehunter.net/s/8fb243160979094480e004148b14828b/udemy-ohac/lesson24.mp4,,
25) 11. Credit Card Input Component | 00:14:15,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b809b8/udemy-ohac/lesson25.mp4,,
26) 13. Loader Loading Component | 00:13:54,https://vss4.coursehunter.net/s/8f09e00980b279824416350443141435/udemy-ohac/lesson26.mp4,,
27) 14. Twitter Post Component | 00:11:31,https://vss4.coursehunter.net/s/8f094443dab27914091416e0048280da/udemy-ohac/lesson27.mp4,,
28) 15. LinkedIn Post Component | 00:05:02,https://vss4.coursehunter.net/s/8f791680e0b2094304c48209141444c4/udemy-ohac/lesson28.mp4,,
29) 16. Flatten Pipe | 00:05:52,https://vss4.coursehunter.net/s/8f6a44e080b20414097943821416096a/udemy-ohac/lesson29.mp4,,
30) 17. Modal Component | 00:10:50,https://vss4.coursehunter.net/s/8f79168096821443e009b20414440996/udemy-ohac/lesson30.mp4,,
31) 18. Debounce Click Directive | 00:07:57,https://vss4.coursehunter.net/s/8f791680e0b2094304cc8209141444cc/udemy-ohac/lesson31.mp4,,
32) 19. Quote Component | 00:07:35,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a9a9/udemy-ohac/lesson32.mp4,,
33) 20. Toggle Component | 00:06:48,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165454/udemy-ohac/lesson33.mp4,,
34) 21. Filter Term Pipe | 00:03:32,https://vss4.coursehunter.net/s/8fe04344141609790204b28209148002/udemy-ohac/lesson34.mp4,,
35) 22. Rich Text Viewer Component | 00:06:37,https://vss4.coursehunter.net/s/8fe20914e016140979430482b28044e2/udemy-ohac/lesson35.mp4,,
36) 23. Debounce Search Component | 00:09:34,https://vss4.coursehunter.net/s/8f8204807914e009441614b243bc09bc/udemy-ohac/lesson36.mp4,,
37) 24. Search List Component | 00:12:33,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b109b1/udemy-ohac/lesson37.mp4,,
38) 25. Counter Component | 00:12:14,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson38.mp4,,
39) 26. Simple Table | 00:09:57,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson39.mp4,,
40) 27. Paging Component | 00:20:27,https://vss4.coursehunter.net/s/8f164380b2821844090904e014791418/udemy-ohac/lesson40.mp4,,
41) 28. Tabs Component | 00:11:21,https://vss4.coursehunter.net/s/8fb243160979094480e0041488148288/udemy-ohac/lesson41.mp4,,
42) 30. Ripple Directive | 00:10:04,https://vss4.coursehunter.net/s/8fb243160979094480e004148d14828d/udemy-ohac/lesson42.mp4,,
43) 31. Fade In Out Animation | 00:08:20,https://vss4.coursehunter.net/s/8fe60914e016140979430482b28044e6/udemy-ohac/lesson43.mp4,,
44) 33. Sort Table Component | 00:21:34,https://vss4.coursehunter.net/s/8fb243160979094480e004148b14828b/udemy-ohac/lesson44.mp4,,
45) 34. Reactive Forms Email Component | 00:27:57,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a3a3/udemy-ohac/lesson45.mp4,,
46) 35. Form Dirty Guard | 00:08:07,https://vss4.coursehunter.net/s/8f14e00409094414824379b223801623/udemy-ohac/lesson46.mp4,,
47) 36. User Service | 00:12:15,https://vss4.coursehunter.net/s/8f164380b2821344090904e014791413/udemy-ohac/lesson47.mp4,,
48) 39. Ribbon Component | 00:12:48,https://vss4.coursehunter.net/s/8fb243160979094480e0041484148284/udemy-ohac/lesson48.mp4,,
49) 40. Button Toggle Component | 00:12:49,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a1a1/udemy-ohac/lesson49.mp4,,
50) 41. Banner Cut Out Component | 00:08:53,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165353/udemy-ohac/lesson50.mp4,,
51) 42. Scale Directive | 00:03:51,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a5a5/udemy-ohac/lesson51.mp4,,
52) 43. Snackbar Component | 00:14:46,https://vss4.coursehunter.net/s/8fee0914e016140979430482b28044ee/udemy-ohac/lesson52.mp4,,
53) 44. Simple Popup Component | 00:10:17,https://vss4.coursehunter.net/s/8f09e00980b2798244163a044314143a/udemy-ohac/lesson53.mp4,,
54) 45. Countdown Timer Component | 00:19:02,https://vss4.coursehunter.net/s/8f791680e0b2094304c58209141444c5/udemy-ohac/lesson54.mp4,,
55) 46. Snackbar Service | 00:07:42,https://vss4.coursehunter.net/s/8f144f4414790909e016b2438082044f/udemy-ohac/lesson55.mp4,,
56) 47. Copy Directive | 00:07:45,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2aeae/udemy-ohac/lesson56.mp4,,
57) 48. Lazy Load Image Directive | 00:15:48,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165151/udemy-ohac/lesson57.mp4,,
58) 50. Footer Component | 00:12:31,https://vss4.coursehunter.net/s/8f09e00980b279824416350443141435/udemy-ohac/lesson58.mp4,,
59) 51. Slide Right Animation | 00:03:33,https://vss4.coursehunter.net/s/8f7916809c821443e009b2041444099c/udemy-ohac/lesson59.mp4,,
60) 52. Skeleton Loader Component | 00:09:04,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147171/udemy-ohac/lesson60.mp4,,
61) 53. Social Media Bar Component | 00:14:19,https://vss4.coursehunter.net/s/8f79168095821443e009b20414440995/udemy-ohac/lesson61.mp4,,
62) 54. Bottom Sheet Component | 00:08:42,https://vss4.coursehunter.net/s/8fe04344141609790404b28209148004/udemy-ohac/lesson62.mp4,,
63) 55. Fieldset Toggle Component | 00:05:21,https://vss4.coursehunter.net/s/8fea0914e016140979430482b28044ea/udemy-ohac/lesson63.mp4,,
64) 56. Pill Component | 00:08:01,https://vss4.coursehunter.net/s/8f6344e080b204140979438214160963/udemy-ohac/lesson64.mp4,,
65) 57. Pill Filter List Component | 00:15:17,https://vss4.coursehunter.net/s/8fb243160979094480e0041487148287/udemy-ohac/lesson65.mp4,,
66) 58. Not Found Component | 00:10:33,https://vss4.coursehunter.net/s/8f164380b2821144090904e014791411/udemy-ohac/lesson66.mp4,,
67) 59. Password Component | 00:17:33,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165d5d/udemy-ohac/lesson67.mp4,,
68) 63. Title Service | 00:12:09,https://vss4.coursehunter.net/s/8fe90914e016140979430482b28044e9/udemy-ohac/lesson68.mp4,,
69) 70. Rich Text Pipe | 00:04:43,https://vss4.coursehunter.net/s/8fe50914e016140979430482b28044e5/udemy-ohac/lesson69.mp4,,
70) 72. Sort By Pipe | 00:05:50,https://vss4.coursehunter.net/s/8f14e00409094414824379b229801629/udemy-ohac/lesson70.mp4,,
71) 73. Sort By Key Pipe | 00:05:29,https://vss4.coursehunter.net/s/8f791680e0b2094304cc8209141444cc/udemy-ohac/lesson71.mp4,,
72) 75. Overlay Component | 00:03:51,https://vss4.coursehunter.net/s/8fe50914e016140979430482b28044e5/udemy-ohac/lesson72.mp4,,
73) 76. Local Storage Service | 00:10:41,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147272/udemy-ohac/lesson73.mp4,,
74) 77. Route Params | 00:07:32,https://vss4.coursehunter.net/s/8f094443d3b27914091416e0048280d3/udemy-ohac/lesson74.mp4,,
75) 78. Common Scripts | 00:07:29,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b509b5/udemy-ohac/lesson75.mp4,,
76) 79. Active Route UI | 00:04:27,https://vss4.coursehunter.net/s/8fe04344141609791004b28209148010/udemy-ohac/lesson76.mp4,,
77) 80. Auto Focus Input Directive | 00:03:47,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2acac/udemy-ohac/lesson77.mp4,,
78) Testing Introduction | 00:01:19,https://vss4.coursehunter.net/s/8f164380b2822044090904e014791420/udemy-ohac/lesson78.mp4,,
79) 92. Component Testing | 00:10:33,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147676/udemy-ohac/lesson79.mp4,,
80) 93. Guard Testing | 00:09:01,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147575/udemy-ohac/lesson80.mp4,,
81) 94. Pipe Testing | 00:04:55,https://vss4.coursehunter.net/s/8f14e00409094414824379b22b80162b/udemy-ohac/lesson81.mp4,,
82) 95. Directive Testing | 00:13:09,https://vss4.coursehunter.net/s/8f14e00409094414824379b22d80162d/udemy-ohac/lesson82.mp4,,
83) 96. Mock 3rd Party (Http) | 00:04:47,https://vss4.coursehunter.net/s/8f14414414790909e016b24380820441/udemy-ohac/lesson83.mp4,,
84) 97. Service Testing | 00:10:38,https://vss4.coursehunter.net/s/8f09e00980b279824416350443141435/udemy-ohac/lesson84.mp4,,
85) 98. Mock First Party Services | 00:05:05,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147474/udemy-ohac/lesson85.mp4,,
86) 99. Abstracting Services for Testing | 00:05:06,https://vss4.coursehunter.net/s/8fef0914e016140979430482b28044ef/udemy-ohac/lesson86.mp4,,
87) 100. Testing Practice x 75 | 00:01:28,https://vss4.coursehunter.net/s/8f79168097821443e009b20414440997/udemy-ohac/lesson87.mp4,,
88) Good job! | 00:02:32,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147e7e/udemy-ohac/lesson88.mp4,,
89) Bonus Lecture | 00:01:09,https://vss4.coursehunter.net/s/8f098043e016091444798204b2148080/udemy-ohac/lesson89.mp4,,
