title,videos
1) 1.1 Введение | 00:04:51,https://vss4.coursehunter.net/s/8f25868c1409ac04d605461434175454/skillbox-omdds/lesson1.mp4
2) 1.2 Основные операции с дробями | 00:11:45,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147676/skillbox-omdds/lesson2.mp4
3) 1.3 Разбор практики | 00:01:34,https://vss4.coursehunter.net/s/8fac4634141786d60804250509148c08/skillbox-omdds/lesson3.mp4
4) 1.4 Раскрытие скобок | 00:08:09,https://vss4.coursehunter.net/s/8f14ac04860934140546d625258c1725/skillbox-omdds/lesson4.mp4
5) 1.5 Разбор практики | 00:01:02,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a6a6/skillbox-omdds/lesson5.mp4
6) 1.6 Приведение подобных слагаемых | 00:04:13,https://vss4.coursehunter.net/s/8f86ac098c25d60534173f044614143f/skillbox-omdds/lesson6.mp4
7) 1.7 Разбор практики | 00:02:30,https://vss4.coursehunter.net/s/8f86ac098c25d6053417330446141433/skillbox-omdds/lesson7.mp4
8) 1.8 Работа с математическими формулами в Python | 00:08:10,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147d7d/skillbox-omdds/lesson8.mp4
9) 1.9 Домашняя работа | 00:00:54,https://vss4.coursehunter.net/s/8fd6178c97051446ac09250414348697/skillbox-omdds/lesson9.mp4
10) 2.1 Введение | 00:05:24,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425b0b0/skillbox-omdds/lesson10.mp4
11) 2.2 Степени и их свойства | 00:20:26,https://vss4.coursehunter.net/s/8fd6178c9c051446ac0925041434869c/skillbox-omdds/lesson11.mp4
12) 2.3 Корни и их свойства | 00:08:59,https://vss4.coursehunter.net/s/8f14ac04860934140546d625288c1728/skillbox-omdds/lesson12.mp4
13) 2.4 Логарифмы и их свойства | 00:10:10,https://vss4.coursehunter.net/s/8f17468c25051734860904ac14d61417/skillbox-omdds/lesson13.mp4
14) 2.5 Дополнительные объекты и обозначения | 00:08:25,https://vss4.coursehunter.net/s/8f86ac098c25d6053417320446141432/skillbox-omdds/lesson14.mp4
15) 2.6 Заключение | 00:00:34,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a7a7/skillbox-omdds/lesson15.mp4
16) 2.7 Домашняя работа | 00:00:35,https://vss4.coursehunter.net/s/8f86ac098c25d60534173a044614143a/skillbox-omdds/lesson16.mp4
17) 3.1 Введение | 00:00:56,https://vss4.coursehunter.net/s/8f144d3414d60986ac1725468c05044d/skillbox-omdds/lesson17.mp4
18) 3.2 Понятие функции. Построение графиков функций с помощью SymPy | 00:08:33,https://vss4.coursehunter.net/s/8fac4634141786d60204250509148c02/skillbox-omdds/lesson18.mp4
19) 3.3 Виды и свойства функций | 00:05:50,https://vss4.coursehunter.net/s/8f25461786d609348cac041484140584/skillbox-omdds/lesson19.mp4
20) 3.4 Элементарные функции и их свойства | 00:19:04,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425b0b0/skillbox-omdds/lesson20.mp4
21) 3.5 Исследование параболы с помощью SymPy | 00:09:35,https://vss4.coursehunter.net/s/8f863446db25d614091417ac04058cdb/skillbox-omdds/lesson21.mp4
22) 3.6 Разбор практики | 00:01:36,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147d7d/skillbox-omdds/lesson22.mp4
23) 3.7 Дополнительный функционал SymPy для исследования функций | 00:06:49,https://vss4.coursehunter.net/s/8fe40914ac171486d6460405258c34e4/skillbox-omdds/lesson23.mp4
24) 3.8 Разбор практики | 00:01:59,https://vss4.coursehunter.net/s/8f6a34ac8c25041486d646051417096a/skillbox-omdds/lesson24.mp4
25) 3.9 Домашняя работа | 00:02:04,https://vss4.coursehunter.net/s/8f86ac098c25d6053417380446141438/skillbox-omdds/lesson25.mp4
26) 4.1 Интро | 00:04:59,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a6a6/skillbox-omdds/lesson26.mp4
27) 4.2 Полиномы и интерполяция | 00:04:19,https://vss4.coursehunter.net/s/8f17468c25051734860904ac14d61417/skillbox-omdds/lesson27.mp4
28) 4.3 Разбор практики | 00:13:16,https://vss4.coursehunter.net/s/8fd6178cac25094604cc0586141434cc/skillbox-omdds/lesson28.mp4
29) 4.4 Свойства коэффициентов квадратичной функции | 00:00:51,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546be86be/skillbox-omdds/lesson29.mp4
30) 4.5 Разбор практики | 00:05:55,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a1a1/skillbox-omdds/lesson30.mp4
31) 4.6 Свойства коэффициентов кубической функции | 00:01:29,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546c086c0/skillbox-omdds/lesson31.mp4
32) 4.7 Разбор практики | 00:03:33,https://vss4.coursehunter.net/s/8f6434ac8c25041486d6460514170964/skillbox-omdds/lesson32.mp4
33) 4.8 Нахождение коэффициентов полиномов аналитически | 00:00:58,https://vss4.coursehunter.net/s/8f25868c1409ac04d605461434175f5f/skillbox-omdds/lesson33.mp4
34) 4.9 Разбор практики | 00:09:29,https://vss4.coursehunter.net/s/8f14ac04860934140546d625248c1724/skillbox-omdds/lesson34.mp4
35) 4.10 Недостатки интерполяции | 00:06:02,https://vss4.coursehunter.net/s/8f14ac04860934140546d625298c1729/skillbox-omdds/lesson35.mp4
36) 5.1 Введение | 00:07:18,https://vss4.coursehunter.net/s/8fd6178c92051446ac09250414348692/skillbox-omdds/lesson36.mp4
37) 5.2 Функция потерь | 00:13:14,https://vss4.coursehunter.net/s/8f17468c25051d34860904ac14d6141d/skillbox-omdds/lesson37.mp4
38) 5.3 Преобразования функций. Сдвиги вправо и влево | 00:13:05,https://vss4.coursehunter.net/s/8f6134ac8c25041486d6460514170961/skillbox-omdds/lesson38.mp4
39) 5.4 Преобразования функций. Растяжения и сжатия | 00:10:04,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147272/skillbox-omdds/lesson39.mp4
40) 5.5 ML как решение задачи аппроксимации | 00:01:34,https://vss4.coursehunter.net/s/8f25868c1409ac04d605461434175d5d/skillbox-omdds/lesson40.mp4
41) 6.1 Введение | 00:03:38,https://vss4.coursehunter.net/s/8f86ac098c25d6053417370446141437/skillbox-omdds/lesson41.mp4
42) 6.2 Понятие производной | 00:08:48,https://vss4.coursehunter.net/s/8f25868c1409ac04d605461434175e5e/skillbox-omdds/lesson42.mp4
43) 6.3 Разбор практики | 00:02:50,https://vss4.coursehunter.net/s/8f86ac098c25d60534173c044614143c/skillbox-omdds/lesson43.mp4
44) 6.4 Минимум MSE и техники вычисления производных (часть 1) | 00:09:44,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546ba86ba/skillbox-omdds/lesson44.mp4
45) 6.5 Разбор практики | 00:02:45,https://vss4.coursehunter.net/s/8f144f3414d60986ac1725468c05044f/skillbox-omdds/lesson45.mp4
46) 6.6 Минимум MSE и техники вычисления производных (часть 2) | 00:13:10,https://vss4.coursehunter.net/s/8f14ac04860934140546d6252d8c172d/skillbox-omdds/lesson46.mp4
47) 6.7 Разбор практики | 00:02:16,https://vss4.coursehunter.net/s/8fd6178c92051446ac09250414348692/skillbox-omdds/lesson47.mp4
48) 6.8 Сигмоида и еще несколько правил вычисления производных | 00:11:37,https://vss4.coursehunter.net/s/8f25461786d609348cac041486140586/skillbox-omdds/lesson48.mp4
49) 7.1 Введение | 00:04:22,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a7a7/skillbox-omdds/lesson49.mp4
50) 7.2 Определение функции нескольких переменных | 00:12:55,https://vss4.coursehunter.net/s/8f17468c25051834860904ac14d61418/skillbox-omdds/lesson50.mp4
51) 7.3 Графики функции нескольких переменных | 00:08:14,https://vss4.coursehunter.net/s/8f14ac04860934140546d6252e8c172e/skillbox-omdds/lesson51.mp4
52) 7.4 Нули функции нескольких переменных | 00:08:49,https://vss4.coursehunter.net/s/8fd6178c95051446ac09250414348695/skillbox-omdds/lesson52.mp4
53) 7.5 Декартова система координат и гиперплоскость | 00:06:52,https://vss4.coursehunter.net/s/8f6d34ac8c25041486d646051417096d/skillbox-omdds/lesson53.mp4
54) 7.6 Заключение | 00:00:41,https://vss4.coursehunter.net/s/8f144b3414d60986ac1725468c05044b/skillbox-omdds/lesson54.mp4
55) 7.7 Домашняя работа | 00:00:36,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546b686b6/skillbox-omdds/lesson55.mp4
56) 8.1 Введение | 00:05:20,https://vss4.coursehunter.net/s/8fd6178c9f051446ac0925041434869f/skillbox-omdds/lesson56.mp4
57) 8.2 Задача аппроксимации функцией многих переменных | 00:12:16,https://vss4.coursehunter.net/s/8f17468c25051134860904ac14d61411/skillbox-omdds/lesson57.mp4
58) 8.3 Техника нахождения частных производных | 00:06:35,https://vss4.coursehunter.net/s/8f6934ac8c25041486d6460514170969/skillbox-omdds/lesson58.mp4
59) 8.4 Частные производные и минимизация MSE (часть 1) | 00:08:55,https://vss4.coursehunter.net/s/8f17468c25051e34860904ac14d6141e/skillbox-omdds/lesson59.mp4
60) 8.5 Частные производные и минимизация MSE (часть 2) | 00:07:55,https://vss4.coursehunter.net/s/8fd6178c93051446ac09250414348693/skillbox-omdds/lesson60.mp4
61) 8.6 Нахождение производных с помощью sympy | 00:06:25,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a6a6/skillbox-omdds/lesson61.mp4
62) 9.1 Введение | 00:07:47,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a1a1/skillbox-omdds/lesson62.mp4
63) 9.2 Вектора как описания объектов и их признаков | 00:09:59,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147878/skillbox-omdds/lesson63.mp4
64) 9.3 Скалярное произведение векторов и линейная модель | 00:15:03,https://vss4.coursehunter.net/s/8f86ac098c25d6053417370446141437/skillbox-omdds/lesson64.mp4
65) 9.4 Геометрическая интерпретация вектора | 00:05:40,https://vss4.coursehunter.net/s/8fac4634141786d60604250509148c06/skillbox-omdds/lesson65.mp4
66) 9.5 Вектор функций и градиент | 00:12:59,https://vss4.coursehunter.net/s/8f25461786d609348cac041485140585/skillbox-omdds/lesson66.mp4
67) 10.1 Введение | 00:13:51,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546b486b4/skillbox-omdds/lesson67.mp4
68) 10.2 Задача аппроксимации как система линейных уравнений | 00:18:37,https://vss4.coursehunter.net/s/8fee0914ac171486d6460405258c34ee/skillbox-omdds/lesson68.mp4
69) 10.3 Представление СЛАУ в виде матричного уравнения | 00:14:31,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546b886b8/skillbox-omdds/lesson69.mp4
70) 10.4 Решение СЛАУ с помощью sympy | 00:10:12,https://vss4.coursehunter.net/s/8fe10914ac171486d6460405258c34e1/skillbox-omdds/lesson70.mp4
71) 10.5 Переопределенные СЛАУ | 00:11:21,https://vss4.coursehunter.net/s/8fac4634141786d60d04250509148c0d/skillbox-omdds/lesson71.mp4
72) 11.1 Введение | 00:05:36,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546ba86ba/skillbox-omdds/lesson72.mp4
73) 11.2 Решение задачи аппроксимации с помощью матриц | 00:09:57,https://vss4.coursehunter.net/s/8f14463414d60986ac1725468c050446/skillbox-omdds/lesson73.mp4
74) 11.3 Детерминант и нахождение обратных матриц (часть 1) | 00:12:07,https://vss4.coursehunter.net/s/8f863446d525d614091417ac04058cd5/skillbox-omdds/lesson74.mp4
75) 11.4 Детерминант и нахождение обратных матриц (часть 2) | 00:10:06,https://vss4.coursehunter.net/s/8fac4634141786d60d04250509148c0d/skillbox-omdds/lesson75.mp4
76) 11.5 Псевдообратная матрица | 00:06:20,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147575/skillbox-omdds/lesson76.mp4
77) 11.6 Заключение | 00:01:26,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a6a6/skillbox-omdds/lesson77.mp4
